pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,st_lum,glat,glon
Kepler-1822 b,Kepler-1822,1,1,0,Transit,2021,Kepler,0.141600,2.648,7.50000,0.70,0.78,-0.286,7.72540,75.69410
Kepler-1823 b,Kepler-1823,1,1,0,Transit,2021,Kepler,0.152800,2.086,5.00000,1.13,1.07,0.287,18.33269,75.16183
Kepler-1824 b,Kepler-1824,1,1,0,Transit,2021,Kepler,0.426700,2.381,6.26000,1.08,1.14,0.171,8.05416,75.38900
Kepler-1825 b,Kepler-1825,1,1,0,Transit,2021,Kepler,0.018700,1.422,2.61000,0.85,0.83,-0.532,11.48845,75.20968
Kepler-1826 b,Kepler-1826,1,1,0,Transit,2021,Kepler,0.021300,1.475,2.78000,0.49,0.49,-1.122,14.05880,81.05265
Kepler-1827 b,Kepler-1827,1,1,0,Transit,2021,Kepler,0.045500,1.856,4.10000,1.40,0.92,0.187,10.83253,73.42561
Kepler-1828 b,Kepler-1828,1,1,0,Transit,2021,Kepler,0.092400,2.116,5.13000,0.90,1.00,-0.111,9.13768,70.34553
Kepler-1829 b,Kepler-1829,1,1,0,Transit,2021,Kepler,0.055900,2.479,6.71000,0.78,0.87,-0.394,17.50627,82.43381
Kepler-183 b,Kepler-183,1,2,0,Transit,2014,Kepler,0.064000,2.060,4.90000,0.96,0.94,0.026,9.28857,72.54342
Kepler-183 c,Kepler-183,1,2,0,Transit,2014,Kepler,0.103000,2.270,35.70000,0.96,0.94,0.026,9.28857,72.54342
Kepler-1830 b,Kepler-1830,1,1,0,Transit,2021,Kepler,0.325900,3.330,11.10000,2.05,1.44,0.631,8.98213,74.61491
Kepler-1831 b,Kepler-1831,1,1,0,Transit,2021,Kepler,0.065500,1.970,4.54000,1.01,1.12,-0.045,12.87817,82.43762
Kepler-1832 b,Kepler-1832,1,1,0,Transit,2021,Kepler,0.037000,1.227,2.02000,0.72,0.68,-0.337,7.31230,78.76895
Kepler-1833 b,Kepler-1833,1,1,0,Transit,2021,Kepler,0.077100,1.300,2.24000,1.45,1.29,0.437,13.74766,77.23333
Kepler-1834 b,Kepler-1834,1,2,0,Transit,2021,Kepler,0.049600,1.459,2.73000,0.79,0.77,-0.577,8.73475,73.37626
Kepler-1834 c,Kepler-1834,1,2,0,Transit,2023,Kepler,0.015000,1.220,1.98000,0.79,0.77,-0.577,8.73475,73.37626
Kepler-1835 b,Kepler-1835,1,1,0,Transit,2021,Kepler,0.099700,3.534,12.20000,0.96,0.92,0.078,20.18801,72.94891
Kepler-1836 b,Kepler-1836,1,1,0,Transit,2021,Kepler,0.060200,2.553,7.05000,0.99,1.05,0.016,10.81083,73.48908
Kepler-1837 b,Kepler-1837,1,1,0,Transit,2021,Kepler,0.065000,2.067,4.92000,0.96,1.05,-0.068,15.56310,76.70756
Kepler-1838 b,Kepler-1838,1,1,0,Transit,2021,Kepler,0.109600,1.660,3.40000,1.96,1.19,0.537,6.02307,75.33486
Kepler-1839 b,Kepler-1839,1,1,0,Transit,2021,Kepler,0.058300,1.949,4.46000,0.94,1.03,0.192,13.71756,82.56605
Kepler-184 b,Kepler-184,1,3,0,Transit,2014,Kepler,0.092000,2.360,6.17000,0.87,0.97,-0.225,12.04501,75.41102
Kepler-184 c,Kepler-184,1,3,0,Transit,2014,Kepler,0.141000,1.970,8.80000,0.87,0.97,-0.225,12.04501,75.41102
Kepler-184 d,Kepler-184,1,3,0,Transit,2014,Kepler,0.179000,2.490,6.76000,0.87,0.97,-0.225,12.04501,75.41102
Kepler-1840 b,Kepler-1840,1,1,0,Transit,2021,Kepler,0.464400,2.778,8.13000,0.80,0.77,-0.587,6.93915,76.30269
Kepler-1841 b,Kepler-1841,1,1,0,Transit,2021,Kepler,0.160600,1.489,2.82000,0.90,0.82,-0.278,13.89999,71.81906
Kepler-1842 b,Kepler-1842,1,1,0,Transit,2021,Kepler,0.116000,2.354,6.14000,1.13,1.06,-0.026,15.57169,72.97930
Kepler-1843 b,Kepler-1843,1,1,0,Transit,2021,Kepler,0.171000,2.709,7.80000,1.78,1.02,0.394,10.62548,74.08635
Kepler-1844 b,Kepler-1844,1,1,0,Transit,2021,Kepler,0.047800,3.036,9.46000,0.85,0.94,0.226,9.23418,70.99476
Kepler-1845 b,Kepler-1845,1,1,0,Transit,2021,Kepler,0.088500,2.438,6.52000,0.70,0.69,-0.578,9.25314,71.39829
Kepler-1846 b,Kepler-1846,1,1,0,Transit,2021,Kepler,0.108900,1.764,3.76000,0.73,0.79,-0.530,11.23122,77.75575
Kepler-1847 b,Kepler-1847,1,1,0,Transit,2021,Kepler,0.098900,2.745,7.97000,0.96,1.04,0.099,9.63471,78.11453
Kepler-1848 b,Kepler-1848,1,1,0,Transit,2021,Kepler,0.056300,1.409,2.57000,0.74,0.76,-0.513,8.54786,80.21280
Kepler-1849 b,Kepler-1849,1,1,0,Transit,2021,Kepler,0.259700,2.387,6.29000,0.73,0.71,-0.662,15.80052,71.61723
Kepler-185 b,Kepler-185,1,2,0,Transit,2014,Kepler,0.026000,1.170,1.71000,0.81,0.81,-0.504,18.69333,73.39808
Kepler-185 c,Kepler-185,1,2,0,Transit,2014,Kepler,0.139000,2.020,4.74000,0.81,0.81,-0.504,18.69333,73.39808
Kepler-1850 b,Kepler-1850,1,1,0,Transit,2021,Kepler,0.020600,0.729,0.31300,0.60,0.61,-0.810,15.45157,74.42563
Kepler-1851 b,Kepler-1851,1,1,0,Transit,2021,Kepler,0.101600,3.900,14.50000,0.88,0.97,0.060,17.18501,75.96531
Kepler-1852 b,Kepler-1852,1,1,0,Transit,2021,Kepler,0.076200,1.886,4.22000,0.83,0.93,-0.432,13.53661,71.60197
Kepler-1853 b,Kepler-1853,1,1,0,Transit,2021,Kepler,0.239500,1.519,2.92000,0.79,0.77,-0.562,18.04902,76.44075
Kepler-1854 b,Kepler-1854,1,1,0,Transit,2021,Kepler,0.211900,2.587,7.21000,0.76,0.80,-0.479,13.56848,68.25510
Kepler-1855 b,Kepler-1855,1,1,0,Transit,2021,Kepler,0.011500,1.216,1.96000,0.36,0.39,-1.295,17.21343,71.31799
Kepler-1856 b,Kepler-1856,1,1,0,Transit,2021,Kepler,0.021500,1.734,3.66000,0.82,0.78,-0.331,13.33162,84.22691
Kepler-1857 b,Kepler-1857,1,1,0,Transit,2021,Kepler,0.080700,1.961,4.50000,1.01,0.87,0.205,7.43714,73.88117
Kepler-1858 b,Kepler-1858,1,1,0,Transit,2021,Kepler,0.357500,2.422,6.44000,0.82,0.79,-0.453,13.36315,78.80207
