EPIC 220554210 c,Transit,2019,K2,,1.600,3.19000,-54.87207,123.91754,134,166
EPIC 220674823 b,Transit,2016,K2,0.013260,1.725,8.21000,-52.07644,123.28442,135,167
EPIC 220674823 c,Transit,2016,K2,0.108300,2.836,8.90000,-52.07644,123.28442,135,168
EPIC 228836835 b,Transit,2021,K2,,1.100,1.37000,57.47166,296.84098,136,169
EPIC 229004835 b,Transit,2023,K2,0.123700,2.332,10.40000,60.81426,289.77763,137,170
EPIC 246851721 b,Transit,2018,K2,0.072290,11.781,953.49000,-12.64088,186.97531,138,171
EPIC 248847494 b,Transit,2018,K2,4.500000,12.442,4131.79000,55.10278,232.28858,139,172
EPIC 249893012 b,Transit,2020,K2,0.047000,1.950,8.75000,34.30816,345.11043,140,173
EPIC 249893012 c,Transit,2020,K2,0.130000,3.670,14.67000,34.30816,345.11043,140,174
EPIC 249893012 d,Transit,2020,K2,0.220000,3.940,10.18000,34.30816,345.11043,140,175
FU Tau b,Imaging,2008,Spitzer Space Telescope,800.000000,12.200,5085.28000,-16.96130,172.11406,141,176
G 264-012 b,Radial Velocity,2021,Calar Alto Observatory,0.022790,1.390,2.50000,10.16235,106.14833,142,177
G 264-012 c,Radial Velocity,2021,Calar Alto Observatory,0.052500,1.760,3.75000,10.16235,106.14833,142,178
G 9-40 b,Transit,2019,K2,0.038500,2.025,11.70000,37.03563,206.06509,143,179
GJ 1002 b,Radial Velocity,2022,Multiple Observatories,0.045700,1.030,1.08000,-67.73033,92.44529,144,180
GJ 1002 c,Radial Velocity,2022,Multiple Observatories,0.073800,1.100,1.36000,-67.73033,92.44529,144,181
GJ 1061 b,Radial Velocity,2020,La Silla Observatory,0.021000,1.100,1.37000,-52.90138,251.87109,145,182
GJ 1061 c,Radial Velocity,2020,La Silla Observatory,0.035000,1.180,1.74000,-52.90138,251.87109,145,183
GJ 1061 d,Radial Velocity,2020,La Silla Observatory,0.054000,1.160,1.64000,-52.90138,251.87109,145,184
GJ 1132 b,Transit,2015,Cerro Tololo Inter-American Observatory,0.015300,1.130,1.66000,7.75911,277.25461,146,185
